id,date,kick_off,status,video,tagging,competitionName,home_team,away_team,home_team_main_conference,away_team_main_conference,customers,notes
5193746,02/04/21,22:00:00,Played,2021-04-03 14:13:21,2021-04-03 19:19:25,Summit League (W),-7517 - SU State Jackrabbits,-7747 - North Dakota Fighting Hawks,Summit League (W),Summit League (W),0,video:  others: 
5194678,02/04/21,22:00:00,Played,2021-04-03 03:47:58,2021-04-03 09:33:38,American Athletic,-2356 - UCF Knights University,27517 - SMU Mustangs,American Athletic,American Athletic,1,video:  others: 
5201714,02/04/21,22:00:00,Played,2021-04-05 14:16:43,no_other_versions,Conference USA (W),-7795 - Old Dominion Monarchs,-7793 - WKU Red Wave,Conference USA (W),Conference USA (W),0,video: F(273604/20210405-14:26:33): NO AUDIO / Video of first half is missing. others: asked on slack 06.04 / 5:00
5216071,02/04/21,22:00:00,Played,2021-04-03 03:39:42,2021-04-05 16:23:22,NCAA Non-conference Women matches,-7910 - Ole Miss Rebels,-7954 - Arkansas St. Red Wolves,SEC (W),Sun Belt (W),1,"video: T: missing first half KO, easy others: tag so"
5195152,02/04/21,22:30:00,Played,2021-04-03 05:38:00,2021-04-03 15:20:09,Ohio Valley (W),-7868 - SIUE Cougars,-7870 - Belmont Bruins,Ohio Valley (W),Ohio Valley (W),0,video: T: 01.21.43 - advertising others: 
5193566,02/04/21,23:00:00,Played,2021-04-03 14:35:33,2021-04-04 13:21:31,ASUN,-2981 - FGCU Eagles,-3020 - Stetson Hatters,ASUN,ASUN,2,video: Т: first half KO and few seconds missing from first half - lagging -  taggable - easy others: tag so
5194100,02/04/21,23:00:00,Played,2021-04-03 14:23:27,2021-04-03 22:02:40,ASUN (W),-7681 - Stetson Hatters,-7679 - FGCU Eagles,ASUN (W),ASUN (W),0,video:  others: 
5194679,02/04/21,23:00:00,Played,2021-04-03 05:41:55,2021-04-03 12:10:58,American Athletic,-2893 - Temple Owls University,-2818 - Tulsa Hurricane University,American Athletic,American Athletic,2,video:  others: 
5194680,02/04/21,23:00:00,Played,2021-04-03 05:51:52,2021-04-03 15:21:30,American Athletic,27518 - USF Bulls,-2892 - Memphis Tigers University,American Athletic,American Athletic,2,video:  others: 
5195062,02/04/21,23:00:00,Played,2021-04-03 16:58:26,2021-04-03 23:50:38,Big East,-2375 - Creighton Bluejays,-2358 - DePaul Blue Demons,Big East,Big East,1,video:  others: 
